Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Explicit_18regions.csv,
Starttime of export,132661033789190000,Friday, May 21, 2021,16:42:58.919
Endtime of export,132661034946622983,Friday, May 21, 2021,16:44:54.662


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


1090,11.868403434753418,1090,13.952854156494141,1090,4.2500123977661133,1090,9.0568380355834961,1090,10,1090,14
1100,11.878376960754395,1100,13.946869850158691,1100,4.2500123977661133,1100,9.05616569519043,1100,10,1100,14
1110,11.880372047424316,1110,13.954848289489746,1110,4.2500123977661133,1110,9.05541706085205,1110,10,1110,14
1120,11.856435775756836,1120,13.956843376159668,1120,4.2500123977661133,1120,9.0546150207519531,1120,10,1120,14
1130,11.878376960754395,1130,13.952854156494141,1130,4.2500123977661133,1130,9.05380630493164,1130,10,1130,14
1140,11.864414215087891,1140,13.960832595825195,1140,4.2500123977661133,1140,9.0529327392578125,1140,10,1140,14
1150,11.856435775756836,1150,13.962828636169434,1150,4.2500123977661133,1150,9.0520057678222656,1150,10,1150,14
1160,11.89433479309082,1160,13.970807075500488,1160,4.2500123977661133,1160,9.05096435546875,1160,10,1160,14
1170,11.882366180419922,1170,13.970807075500488,1170,4.2500123977661133,1170,9.0498590469360352,1170,10,1170,14
1180,11.886355400085449,1180,13.956843376159668,1180,4.2500123977661133,1180,9.04883098602295,1180,10,1180,14
1190,11.89433479309082,1190,13.968812942504883,1190,4.2500123977661133,1190,9.0477485656738281,1190,10,1190,14
1200,11.866409301757813,1200,13.962828636169434,1200,4.2500123977661133,1200,9.0466928482055664,1200,10,1200,14
1210,11.868403434753418,1210,13.950859069824219,1210,4.2500123977661133,1210,9.0457544326782227,1210,10,1210,14
1220,11.862420082092285,1220,13.950859069824219,1220,4.2500123977661133,1220,9.0448894500732422,1220,10,1220,14
1230,11.878376960754395,1230,13.946869850158691,1230,4.2500123977661133,1230,9.0440959930419922,1230,10,1230,14
1240,11.912286758422852,1240,13.948864936828613,1240,4.2500123977661133,1240,9.0433168411254883,1240,10,1240,14
1250,11.890345573425293,1250,13.946869850158691,1250,4.2500123977661133,1250,9.0425701141357422,1250,10,1250,14
1260,11.884361267089844,1260,13.946869850158691,1260,4.2500123977661133,1260,9.0418472290039062,1260,10,1260,14
1270,11.880372047424316,1270,13.946869850158691,1270,4.2500123977661133,1270,9.0411396026611328,1270,10,1270,14
1280,11.848456382751465,1280,13.940886497497559,1280,4.2500123977661133,1280,9.04050350189209,1280,10,1280,14
1290,11.868403434753418,1290,13.952854156494141,1290,4.2500123977661133,1290,9.0398025512695312,1290,10,1290,14
1300,11.874387741088867,1300,13.964823722839356,1300,4.2500123977661133,1300,9.0389595031738281,1300,10,1300,14
1310,11.866409301757813,1310,13.952854156494141,1310,4.2500123977661133,1310,9.0381345748901367,1310,10,1310,14
1320,11.89433479309082,1320,13.954848289489746,1320,4.2500123977661133,1320,9.03729248046875,1320,10,1320,14
1330,11.884361267089844,1330,13.960832595825195,1330,4.2500123977661133,1330,9.0363922119140625,1330,10,1330,14
